Met.num      A             h              x             y          yexact        delta       delta *power  
1               1           0.1            10     2.656e-05      4.54e-05       0.02577   2.58e-01 
1               1          0.01            10     4.361e-05      4.54e-05      0.002507   2.51e-01 
1               1         0.001            10     4.522e-05      4.54e-05     0.0002501   2.50e-01 
1               1        0.0001            10     4.538e-05      4.54e-05       2.5e-05   2.50e-01 
1               1         1e-05            10      4.54e-05      4.54e-05       2.5e-06   2.50e-01 

1               2           0.1            10     2.037e-10     2.061e-09       0.03766   3.77e-01 
1               2          0.01            10     1.717e-09     2.061e-09      0.003556   3.56e-01 
1               2         0.001            10     2.024e-09     2.061e-09     0.0003538   3.54e-01 
1               2        0.0001            10     2.057e-09     2.061e-09     3.536e-05   3.54e-01 
1               2         1e-05            10     2.061e-09     2.061e-09     3.536e-06   3.54e-01 

1               3           0.1            10     3.234e-16     9.358e-14       0.04779   4.78e-01 
1               3          0.01            10     6.095e-14     9.358e-14      0.004369   4.37e-01 
1               3         0.001            10     8.972e-14     9.358e-14     0.0004334   4.33e-01 
1               3        0.0001            10     9.318e-14     9.358e-14     4.331e-05   4.33e-01 
1               3         1e-05            10     9.354e-14     9.358e-14      4.33e-06   4.33e-01 

1               4           0.1            10     6.533e-23     4.248e-18       0.05737   5.74e-01 
1               4          0.01            10     1.945e-18     4.248e-18       0.00506   5.06e-01 
1               4         0.001            10     3.937e-18     4.248e-18     0.0005006   5.01e-01 
1               4        0.0001            10     4.216e-18     4.248e-18     5.001e-05   5.00e-01 
1               4         1e-05            10     4.245e-18     4.248e-18         5e-06   5.00e-01 

1               5           0.1            10     7.889e-31     1.929e-22       0.06692   6.69e-01 
1               5          0.01            10      5.57e-23     1.929e-22      0.005674   5.67e-01 
1               5         0.001            10      1.71e-22     1.929e-22     0.0005598   5.60e-01 
1               5        0.0001            10     1.906e-22     1.929e-22     5.591e-05   5.59e-01 
1               5         1e-05            10     1.926e-22     1.929e-22      5.59e-06   5.59e-01 

1               6           0.1            10     1.607e-40     8.757e-27       0.07678   7.68e-01 
1               6          0.01            10     1.428e-27     8.757e-27      0.006234   6.23e-01 
1               6         0.001            10     7.353e-27     8.757e-27     0.0006134   6.13e-01 
1               6        0.0001            10     8.605e-27     8.757e-27     6.125e-05   6.12e-01 
1               6         1e-05            10     8.741e-27     8.757e-27     6.124e-06   6.12e-01 

1               7           0.1            10     5.154e-53     3.975e-31       0.08724   8.72e-01 
1               7          0.01            10     3.269e-32     3.975e-31      0.006754   6.75e-01 
1               7         0.001            10      3.13e-31     3.975e-31     0.0006628   6.63e-01 
1               7        0.0001            10     3.882e-31     3.975e-31     6.616e-05   6.62e-01 
1               7         1e-05            10     3.966e-31     3.975e-31     6.615e-06   6.61e-01 

1               8           0.1            10     1.268e-70     1.805e-35       0.09857   9.86e-01 
1               8          0.01            10     6.669e-37     1.805e-35      0.007243   7.24e-01 
1               8         0.001            10     1.319e-35     1.805e-35     0.0007088   7.09e-01 
1               8        0.0001            10     1.749e-35     1.805e-35     7.073e-05   7.07e-01 
1               8         1e-05            10     1.799e-35     1.805e-35     7.071e-06   7.07e-01 

1               9           0.1            10        1e-100     8.194e-40        0.1111   1.11e+00 
1               9          0.01            10     1.209e-41     8.194e-40      0.007706   7.71e-01 
1               9         0.001            10     5.501e-40     8.194e-40      0.000752   7.52e-01 
1               9        0.0001            10     7.876e-40     8.194e-40     7.502e-05   7.50e-01 
1               9         1e-05            10     8.162e-40     8.194e-40       7.5e-06   7.50e-01 

1              10           0.1            10             0      3.72e-44        0.1251   1.25e+00 
1              10          0.01            10     1.942e-46      3.72e-44      0.008149   8.15e-01 
1              10         0.001            10     2.271e-44      3.72e-44     0.0007929   7.93e-01 
1              10        0.0001            10     3.542e-44      3.72e-44     7.908e-05   7.91e-01 
1              10         1e-05            10     3.702e-44      3.72e-44     7.906e-06   7.91e-01 



2               1           0.1            10     7.257e-05      4.54e-05       0.02431   2.43e-01 
2               1          0.01            10     4.819e-05      4.54e-05      0.002493   2.49e-01 
2               1         0.001            10     4.567e-05      4.54e-05     0.0002499   2.50e-01 
2               1        0.0001            10     4.543e-05      4.54e-05       2.5e-05   2.50e-01 
2               1         1e-05            10      4.54e-05      4.54e-05       2.5e-06   2.50e-01 

2               2           0.1            10     1.207e-08     2.061e-09       0.03348   3.35e-01 
2               2          0.01            10     2.561e-09     2.061e-09      0.003515   3.52e-01 
2               2         0.001            10     2.107e-09     2.061e-09     0.0003533   3.53e-01 
