b = 10000

Number of segments    L2 norm between Exact and Progonka    L2 norm between Exact and Fourier     L2 norm between Progonka and Fourier   Factor(L2 norm / h ** 2)

       5                    3.444e-06                           3.444e-06                              8.632e-16                     6.974e-05 
      10                    1.325e-06                           1.325e-06                              1.946e-15                     0.0001196 
      20                    4.717e-07                           4.717e-07                              3.687e-15                     0.0001794 
      40                    1.549e-07                           1.549e-07                              4.754e-15                     0.0002416 
      80                     4.52e-08                            4.52e-08                              4.832e-15                     0.0002857 
     160                    1.197e-08                           1.197e-08                              4.679e-15                     0.0003044 
     320                    3.037e-09                           3.037e-09                              3.909e-15                       0.00031 
     640                    7.617e-10                           7.617e-10                              6.848e-15                     0.0003115 
    1280                    1.905e-10                           1.905e-10                              4.734e-15                     0.0003119 
    2560                    4.762e-11                           4.762e-11                              6.341e-14                      0.000312 
