b is not a constant.

Number of segments    L2 norm between Exact and Progonka    Factor(L2 norm / h ** 2)

       5                    0.0002674                            0.005414 
      10                    7.803e-05                            0.007042 
      20                    1.999e-05                            0.007601 
      40                    4.968e-06                            0.007751 
      80                    1.232e-06                            0.007789 
     160                    3.065e-07                            0.007799 
     320                    7.642e-08                            0.007801 
     640                    1.908e-08                            0.007802 
    1280                    4.765e-09                            0.007802 
    2560                    1.191e-09                            0.007802 
