b = 0

Number of segments    L2 norm between Exact and Progonka    L2 norm between Exact and Fourier     L2 norm between Progonka and Fourier   Factor(L2 norm / h ** 2)

       5                     0.001712                            0.001712                              1.692e-15                       0.03466 
      10                    0.0003958                           0.0003958                              5.254e-15                       0.03572 
      20                     9.46e-05                            9.46e-05                               3.62e-14                       0.03597 
      40                    2.309e-05                           2.309e-05                              4.415e-14                       0.03603 
      80                    5.703e-06                           5.703e-06                              4.826e-14                       0.03605 
     160                    1.417e-06                           1.417e-06                              8.499e-13                       0.03605 
     320                    3.532e-07                           3.532e-07                              6.226e-12                       0.03605 
     640                    8.815e-08                           8.815e-08                              1.565e-11                       0.03605 
    1280                    2.202e-08                           2.206e-08                              8.952e-11                       0.03605 
    2560                    5.503e-09                            5.57e-09                              1.359e-10                       0.03605 
